character,passive_name,effect_type,damage_multiplier,defense_multiplier,additional_damage,condition,rarity_required,notes
Abaddon The Despoiler,First Among Traitors,scaling,1.0,1.0,0,per_kill,Rare,Stacks +X dmg per kill for friendly Chaos
Abraxas,Infernal Pacts,unknown,1.0,1.0,0,always,Common,Friendly Chaos units adjacent to Abraxas deal an additional 1x X Psychic Damage with their normal ranged attacks. Affected Daemons also gain the bonus Hit on their normal melee attack.
Actus,Galvanic Field,unknown,1.0,1.0,0,vs_mechanical,Common,"Whenever Actus repairs another unit, that unit immediately attacks a target in range, dealing X% of its own Damage to a maximum of Y Damage per hit. Actus can repair other friendly units even if they "
Adamatar,Obsessive Annunciation,unknown,1.0,1.0,0,vs_chaos,Common,"All enemy units adjacent to Adamatar take +X Damage from ranged attacks. If an enemy was Overkilled this turn, enemies adjacent to Adamatar take +X Crit Damage from all attacks by friendly Chaos units"
Aesoth,Stand Vigil,unknown,1.0,1.0,0,conditional,Common,"Friendly surrounding units have +X Armour and deal +Y% Damage with attacks that are not normal attacks. If a friendly Adeptus Custodes uses an Active Ability, Stand Vigil affects all other friendly un"
Aethana,Path of Command,unknown,1.0,1.0,0,conditional,Common,Other friendly units within 2 hexes gain +X Damage. Their Crit chance - if they have one - is increased by +Y%. Affected Aeldari units gain an additional +Z Damage.
Ahriman,Psychic Stalk,unknown,1.0,1.0,0,always,Common,Attacks that deal Flame Damage and Psychic Damage to enemies that are on hexes with Fire deal +X% Damage. Affected attacks from friendly Chaos units deal an additional +Y Damage. The hex of each enemy
Aleph-Null,Fabricator Claw Array,unknown,1.0,1.0,0,vs_mechanical,Common,"After moving, repairs one random adjacent friendly Mechanical unit for X Health. If Aleph-Null does not move, then this ability triggers at the end of its turn. Note: Can restore lost members to damag"
Ancient Thoread,Astartes Banner,direct_damage,1.5,1.0,0,always,Common,+1 hit with melee attacks for adjacent units
Angrax,Hateful Assault,unknown,1.0,1.0,0,always,Common,"Attacks any enemy that moves from a hex adjacent to him, dealing 2x X Power Damage."
Anuphet,Martial Apotheosis,unknown,1.0,1.0,0,always,Common,"At the start of its turn, Anuphet deals 2x X Energy Damage to a random adjacent enemy."
Archimatos,Possession,utility_summon,1.0,1.0,0,always,Common,"Each time Archimatos kills an enemy unit with melee attack, he summons a Bloodletter in its hex. Each time he kill an enemy unit with a ranged attack, he summons a Blue Horror in its hex."
Arjac,Anvil Shield,unknown,1.0,1.0,0,low_health,Common,"Arjac blocks an additional X Damage and when he Blocks he covers the attacker's Hex in Ice. If Arjac is below 35% Health, or if his attacker is on a Hex covered in Ice, he gains +Y% Block Chance and i"
Asmodai,Feared Interrogator,unknown,1.0,1.0,0,vs_chaos,Common,"Deals +X Damage against enemies that are Suppressed, Stunned, or that are adjacent to another friendly Dark Angel. Scores +Y hits, if the enemy is also Chaos."
Atlacoya,Daughter of the Abyss,unknown,1.0,1.0,0,always,Common,Atlacoya takes -X Psychic Damage. Psychic Damage dealt to other friendly units within 2 hexes of Atlacoya is reduced by Y%. Enemy Psykers within 2 hexes receive +Z% Damage.
Aun'Shi,Serene Unifier,unknown,1.0,1.0,0,adjacent,Common,"Aun'Shi grants himself, and adjacent friendly units a bonus based on the current round at the beginning of his turn. Friendly Tau Empire units within 2 Hexes also receive this bonus. The bonus lasts u"
Azkor,Beacon of Rage,unknown,1.0,1.0,0,vs_chaos,Common,"For each time he was attacked in battle, up to a maximum of 8 times, Azkor deals +X Damage. If Azkor has defeated an enemy in this battle, 50% of the extra damage granted by Beacon of Rage is added to"
Azrael,Lion Helm,unknown,1.0,1.0,0,conditional,Common,Friendly units within 2 Hexes block an additional X Damage when they Block and deal +Y Damage while firing Overwatch. Other friendly Dark Angels within 2 Hexes also have their Block Chance increased b
Baraqiel,Deathwing,unknown,1.0,1.0,0,vs_chaos,Common,"Each time Baraqiel blocks damage during an attack, all further incoming damage is reduced by X and the damage Baraqiel deals with melee or Plasma Cannon attacks is increased by Y for 1 round. This eff"
Bellator,Shock Assault,unknown,1.0,1.0,0,adjacent,Common,"Whenever Bellator attacks, any Inceptor adjacent to him also attacks eligible targets, dealing +X Damage for this attack."
Boss Gulgortz,Light 'Im Up,additional_damage,1.0,1.0,285,always,Common,3x95 avg Projectile per attack after normal attack
Brother Burchard,Boltstorm,unknown,1.0,1.0,0,always,Common,Normal ranged attacks deal an additional 3x X Bolter Damage to the target and to each enemy adjacent to the target that is also within range of Brother Burchard. Enemies hit are Suppressed for 1 round
Brother Jaeger,Martial Superiority,unknown,1.0,1.0,0,adjacent,Common,"If Brother Jaeger gets targeted with a melee attack from an adjacent enemy during the enemy's turn, he deals 2x X Power Damage to the attacker before the enemy attack executes."
Calandis,Wireweave Net,unknown,1.0,1.0,0,conditional,Common,"The first time Calandis is targeted by a normal melee attack during the enemy's turn, the attacker immediately takes 2x X Piercing Damage. If the attacker is eliminated, their melee attack is not exec"
Castellan Creed,Sworn Protector,unknown,1.0,1.0,0,adjacent,Common,"When Lord Castellan Creed is first targeted in battle, Colour Sergeant Kell appears in a free adjacent hex. Any time Creed is attacked, Kell switches hexes with him and takes the Damage instead, if th"
Celestine,Geminae Superia,utility_summon,1.0,1.0,0,adjacent,Common,"When attacked, summon a Geminae Superia in a free adjacent hex, and immediately triggers its passive ability Lifewards. Can do this twice per battle. Lifewards (Passive) If Celestine is in an adjacent"
Certus,Camo Cloak,unknown,1.0,1.0,0,conditional,Common,"Whenever an incoming ranged attack has its number of hits reduced for any reason, it deals -X damage per hit to this unit."
Commissar Yarrick,Summary Execution,unknown,1.0,1.0,0,always,Common,"Friendly units with Battle Fatigue gain +X Damage. The first time a friendly unit would flee due to Battle Fatigue, it is executed instead and all other friendly units with the trait ignore it and gai"
Corrodius,Cursed Plague Bell,unknown,1.0,1.0,0,always,Common,Friendly Chaos units starting their turn within Corrodius's Contagion aura gain +1 Movement for this turn. Enemy Psyker units within Corrodius's Contagion aura deal 1x X Psychic Damage to themselves e
Dante,Lord of the Host,direct_damage,1.5,1.0,0,always,Common,+50% dmg for adjacent units with Rapid Assault/Flying
Darkstrider,Structural Analyser,unknown,1.0,1.0,0,adjacent,Common,Units hit by ranged attacks from Darkstrider receive a Markerlight for one round. Friendly units adjacent to Darkstrider deal +X Damage with ranged attacks against targets with a Markerlight. Friendly
Deathleaper,Feeder Tendrils,unknown,1.0,1.0,0,conditional,Common,"When charging, the Deathleaper deals +X Damage, heals for Y Health, and Suppresses the target for 1 round."
Eldryon,Doom,unknown,1.0,1.0,0,conditional,Common,All enemy units exactly 2 hexes away from Eldryon take +X Damage from other friendly unit's normal attacks. Other friendly Aeldari units deal +Y Damage with all their attacks to affected units instead
Exitor-Rho,Optimised Gait,unknown,1.0,1.0,0,vs_mechanical,Common,"Whenever an enemy adjacent to Exitor-Rho is attacked by another friendly Mechanical unit, deal 2x X Energy Damage to that enemy. If an enemy adjacent to Exitor-Rho is defeated by a friendly Mechanical"
Forcas,Enmity for the Unworthy,unknown,1.0,1.0,0,always,Common,Forcas deals +X% Damage for each adjacent unit and additional +Y Damage for each adjacent friendly Dark Angel.
Gibbascrapz,Kustom Force Field,unknown,1.0,1.0,0,always,Common,All friendly adjacent units have an additional +X Armour.
Haarken Worldclaimer,Head-Claimer,direct_damage,1.5,1.0,0,always,Common,"For each enemy unit that Haarken has defeated, his attacks deal +X Damage for the rest of the battle. For each enemy Character that he has defeated, his attacks also score +1 Hit for the rest of the b"
High Marshal Helbrecht,Destroy The Witch,unknown,1.0,1.0,0,vs_psyker,Common,Gains +1 Movement when there's an enemy Psyker on the battlefield. This unit and friendly adjacent units deal +X Damage with melee attacks against Psykers.
Hollan,Twisted Science,unknown,1.0,1.0,0,conditional,Common,"Units Healed by Hollan, other than himself, are affected by Twisted Science until they are defeated. Hollan can heal other unaffected units even if they are at full Health. Affected units immediately "
Imospekh,Inescapable Death,unknown,1.0,1.0,0,conditional,Common,"Imospekh's ranged attacks each deal +X damage per hit when triggered by Overwatch. When defeating a unit with an attack triggered by Overwatch, Imospekh stays in Overwatch, retaining 1 fewer hits comp"
Incisus,Narthecium,unknown,1.0,1.0,0,vs_mechanical,Common,"When an adjacent friendly non-Mechanical unit is defeated, it is immediately revived with X Health, unless Overkilled. Can only be triggered once per turn."
Isaak,Decoys and Misdirection,unknown,1.0,1.0,0,adjacent,Common,"When an enemy moves onto a friendly Decoy, it takes 1x X Blast Damage. When a friendly unit resurrects onto or moves onto a friendly Decoy, it deals +Y Damage until the end of its turn, and if it is a"
Isabella,Medicus Ministorum,unknown,1.0,1.0,0,vs_mechanical,Common,"Any friendly adjacent non-Mechanical unit that takes damage Regenerates X Health afterwards, unless it is defeated. Note: Medicus Ministorum triggers once per attack, not per hit."
Jain Zar,Terror's Lament,unknown,1.0,1.0,0,always,Common,"Adjacent enemy units deal -X Damage and have -1 Hits with melee attacks, to a minimum of 1."
Judh,Hypersensory Abilities,unknown,1.0,1.0,0,low_health,Common,"The first time each enemy turn that Judh is attacked, she cannot fall below X% of her current Health. After the attack, she moves to a free adjacent hex and places a Decoy on the hex she moved from. T"
Kariyan,Legacy of Combat,unknown,1.0,1.0,0,adjacent,Common,"After performing his first attack each turn, Kariyan performs an additional attack. If he is adjacent to an enemy Big Target, this attack deals 1x X Piercing Damage to it. If there is no adjacent enem"
Kharn,The Betrayer,additional_damage,1.0,1.0,200,after_attack,Common,4x50 avg Eviscerating to adjacent enemy after attack
Kut Skoden,Avalanche of Muscle,unknown,1.0,1.0,0,conditional,Common,Deals +X Damage when charging.
Lucien,Visions of Heresy,unknown,1.0,1.0,0,low_health,Common,"After performing a normal attack, Lucien performs a second attack targeting an enemy within range 2, dealing 2x X Bolter Damage. If Lucien is at or below 50% Health, all of his attacks have +Y% pierce"
Lucius,Armour of Shrieking Souls,unknown,1.0,1.0,0,conditional,Common,"If Lucius is defeated by an enemy unit, that enemy becomes Elated. At the beginning of each of its turns, the affected unit loses X Health and when it is defeated, Lucius resurrects on the hex it was "
Macer,Skullsmasher,unknown,1.0,1.0,0,conditional,Common,"Macer deals +X Damage for each 10% of his maximum Health he is currently missing. In addition, if Macer has defeated an enemy this battle, all enemies he attacks become Stunned."
Makhotep,Relentless March,unknown,1.0,1.0,0,always,Common,Gives +1 Movement to all friendly units that start their turn in an adjacent hex. Also repairs affected Mechanical units for X Health.
Maladus,Haze of Corruption,unknown,1.0,1.0,0,adjacent,Common,"Anytime Maladus Phlegmore defeats its target, any leftover Damage and an additional 1x X Toxic Damage is dealt to a random enemy unit adjacent to both Maladus Phlegmore and the initial target. If this"
Marneus Calgar,Rites of Battle,unknown,1.0,1.0,0,always,Common,Adjacent friendly units gain +X Damage. Imperial units gain +Y Damage instead.
Marshal Dreir,Tough to Kill,unknown,1.0,1.0,0,conditional,Common,"At the beginning of his turn, Dreir regenerates X Health. All attacks against Dreir have -Y% Crit Chance and deal -Z Crit Damage."
Mataneo,Aggressive Onslaught,utility_summon,1.5,1.0,0,low_health,Common,"When charging, Mataneo summons 2 Jump Pack Intercessors adjacent to and immediately attacking his target. At the beginning of each of Mataneo's turns, if he is still on the battlefield, all Jump Pack "
Maugan Ra,Inescapable Accuracy,unknown,1.0,1.0,0,conditional,Common,"If Maugan Ra has not moved then his ranged attacks ignore hit reductions from both hex effects and unit effects, and they also have +X% Crit Chance and deal an additional Y Crit Damage. Inescapable Ac"
Mephiston,Fury of Ancients,additional_damage,1.0,1.0,100,after_move,Common,2x Psychic dmg after moving to adjacent enemies
Morvenn Vahl,Righteous Repugnance,additional_damage,1.0,1.0,150,adjacent,Common,3x50 avg Power to target and adjacent enemies
Nauseous Rotbone,Tainted Narthecium,unknown,1.0,1.0,0,vs_chaos,Common,"An adjacent friendly Chaos unit that takes lethal damage has a 75% chance to be revived with X Health, even if Overkilled. Can only be triggered once per turn."
Neurothrope,Neuroparasite,unknown,1.0,1.0,0,conditional,Common,Each enemy that is dealt Psychic Damage by the Neurothrope is infected by a Neuroparasite until either the unit is healed or the Neurothrope is defeated. Whenever a unit infected with a Neuroparasite 
Nicodemus,Sanguinary Priest,unknown,1.0,1.0,0,vs_mechanical,Common,"After moving, all adjacent friendly non-Mechanical units Regenerate X Health. If Nicodemus does not move, this ability triggers at the end of his turn."
Njal,Lord of Tempests,unknown,1.0,1.0,0,always,Common,Njal's normal attacks deal +X Damage for each hex surrounding him that is covered in Ice. The hex of each enemy that is hit by Njal's normal attacks is covered in Ice at the end of the attack.
Parasite of Mortrex,Barbed Ovipositor,utility_summon,1.0,1.0,0,vs_mechanical,Common,When the Parasite of Mortrex defeats a unit it targeted that is not Mechanical it summons a Ripper Swarm in the defeated unit's hex.
Pestillian,Explosive Maladies,unknown,1.0,1.0,0,always,Common,Friendly units adjacent to Pestillian deal an additional 1x X Blast Damage with their normal ranged attacks. Friendly Chaos units adjacent to Pestillian also deal this damage with normal melee attacks
Ragnar,Saga of the Warrior Born,unknown,1.0,1.0,0,conditional,Common,"When charging, Ragnar scores X additional Hits and his critical hits deal an additional +Y Crit Damage. If Ragnar has defeated one or more enemy Characters this battle, friendly Space Wolves also gain"
Re'vas,Cyclic Ion Blaster,unknown,1.0,1.0,0,vs_mechanical,Common,All attacks deal an additional 3x X Particle Damage. If the target has a Markerlight or the Mechanical trait these hits deal +Y Damage.
